resembles a soft porn brian de palma pastiche,safe conduct however ambitious and well-intentioned fails to hit the entertainment bull's-eye,0
some decent actors inflict big damage upon their reputations,when you resurrect a dead man hard copy should come a-knocking no ?,0
a punch line without a premise a joke built entirely from musty memories of half-dimensional characters,a punch line without a premise a joke built entirely from musty memories of half-dimensional characters,1
about as original as a gangster sweating bullets while worrying about a contract on his life,about as original as a gangster sweating bullets while worrying about a contract on his life,1
like a medium-grade network sitcom--mostly inoffensive fitfully amusing but ultimately so weightless that a decent draft in the auditorium might blow it off the screen,sc2 is an autopilot hollywood concoction lacking in imagination and authentic christmas spirit yet it's geared toward an audience full of masters of both,0
as conceived by mr schaeffer christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell,as conceived by mr schaeffer christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell,1
what you would end up with if you took orwell bradbury kafka george lucas and the wachowski brothers and threw them into a blender but that's just the problem with it - the director hasn't added enough of his own ingredients,what you would end up with if you took orwell bradbury kafka george lucas and the wachowski brothers and threw them into a blender but that's just the problem with it - the director hasn't added enough of his own ingredients,1
solaris is rigid and evasive in ways that soderbergh's best films " erin brockovich " " out of sight " and " ocean's eleven " never were,solaris is rigid and evasive in ways that soderbergh's best films " erin brockovich " " out of sight " and " ocean's eleven " never were,1
sets animation back 30 years musicals back 40 years and judaism back at least 50,director-chef gabriele muccino keeps it fast -- zippy comin' at ya -- as if fearing that his film is molto superficiale,0
bad very bad stultifyingly dumbfoundingly mind-numbingly bad,bad very bad stultifyingly dumbfoundingly mind-numbingly bad,1
every so often a film comes along that is so insanely stupid so awful in so many ways that watching it leaves you giddy half past dead is just such an achievement,a dark dull thriller with a parting shot that misfires,0
it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action,1
de niro looks bored murphy recycles murphy and you mentally add showtime to the pile of hollywood dreck that represents nothing more than the art of the deal,a sugar-coated rocky whose valuable messages are forgotten 10 minutes after the last trombone honks,0
though there's a clarity of purpose and even-handedness to the film's direction the drama feels rigged and sluggish,hill looks to be going through the motions beginning with the pale script,0
a slow-moving police-procedural thriller that takes its title all too literally,it's an earnest debut full of heartfelt performances but is ultimately let down by a story that is all too predictable,0
what a stiflingly unfunny and unoriginal mess this is,reggio and glass so rhapsodize cynicism with repetition and languorous slo-mo sequences that glass's dirgelike score becomes a fang-baring lullaby,0
represents the depths to which the girls-behaving-badly film has fallen,the cold and dreary weather is a perfect metaphor for the movie itself which contains few laughs and not much drama,0
a strong first quarter slightly less so second quarter and average second half,can be classified as one of those 'alternate reality' movies except that it would have worked so much better dealing in only one reality,0
peralta's mythmaking could have used some informed adult hindsight,peralta's mythmaking could have used some informed adult hindsight,1
the plot combines the blues brothers and almost famous ( but with bears and a g rating ) with an excruciating dollop of disney sentimentality mixed in for good measure,just too silly and sophomoric to ensnare its target audience,0
by the final whistle you're convinced that this mean machine was a decent tv outing that just doesn't have big screen magic,despite a blue-chip cast and a provocative title writer-director peter mattei's first feature microwaves dull leftover romantic motifs basted in faux-contemporary gravy,0
for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over no such thing is a big letdown,4ever has the same sledgehammer appeal as pokemon videos but it breathes more on the big screen and induces headaches more slowly,0
adam sandler is to gary cooper what a gnat is to a racehorse,adam sandler is to gary cooper what a gnat is to a racehorse,1
cherish is a dud -- a romantic comedy that's not the least bit romantic and only mildly funny,cherish is a dud -- a romantic comedy that's not the least bit romantic and only mildly funny,1
a era do gelo diverte mas não convence É um passatempo descompromissado – e só,a era do gelo diverte mas não convence É um passatempo descompromissado – e só,1
while some of the camera work is interesting the film's mid-to-low budget is betrayed by the surprisingly shoddy makeup work,a selection of scenes in search of a movie,0
no amount of good acting is enough to save oleander's uninspired story,a movie that falls victim to frazzled wackiness and frayed satire,0
despite some strong performances never rises above the level of a telanovela,it treats women like idiots,0
apparently designed as a reverie about memory and regret but the only thing you'll regret is remembering the experience of sitting through it,apparently designed as a reverie about memory and regret but the only thing you'll regret is remembering the experience of sitting through it,1
too much power not enough puff,some fine acting but ultimately a movie with no reason for being,0
a listless and desultory affair,a listless and desultory affair,1
there are a few laughs and clever sight gags scattered about but not enough to make this anything more than another big-budget bust,offers no new insight on the matter nor do its characters exactly spring to life,0
dreary tale of middle-class angst,they missed the boat,0
in gleefully thumpingly hyperbolic terms it covers just about every cliche in the compendium about crass jaded movie types and the phony baloney movie biz,in gleefully thumpingly hyperbolic terms it covers just about every cliche in the compendium about crass jaded movie types and the phony baloney movie biz,1
i have no problem with " difficult " movies or movies that ask the audience to meet them halfway and connect the dots instead of having things all spelled out but first you have to give the audience a reason to <b>want</b> to put for that effort and " i,i have no problem with " difficult " movies or movies that ask the audience to meet them halfway and connect the dots instead of having things all spelled out but first you have to give the audience a reason to <b>want</b> to put for that effort and " i,1
pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i e a banal spiritual quest,pretend like your sat scores are below 120 and you might not notice the flaws,0
godawful boring slug of a movie,an ambitiously naturalistic albeit half-baked drama about an abused inner-city autistic teen,0
all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility,all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility,1
no such thing breaks no new ground and treads old turf like a hippopotamus ballerina,no such thing breaks no new ground and treads old turf like a hippopotamus ballerina,1
you have once again entered the bizarre realm where director adrian lyne holds sway where all relationships are simultaneously broadly metaphorical oddly abstract and excruciatingly literal,you have once again entered the bizarre realm where director adrian lyne holds sway where all relationships are simultaneously broadly metaphorical oddly abstract and excruciatingly literal,1
haneke's script ( from elfriede jelinek's novel ) is contrived unmotivated and psychologically unpersuasive with an inconclusive ending,ong chooses to present ah na's life as a slight weightless fairy tale whose most unpleasant details seem to melt away in the face of the character's blank-faced optimism,0
it's difficult to discern if this is a crazy work of disturbed genius or merely 90 minutes of post-adolescent electra rebellion,a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff,0
[janey] forgets about her other obligations leading to a tragedy which is somehow guessable from the first few minutes maybe because it echoes the by now intolerable morbidity of so many recent movies,shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors,0
essentially a collection of bits -- and they're all naughty,with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry's boss there isn't a redeeming moment here,0
movie fans get ready to take off the other direction,movie fans get ready to take off the other direction,1
a trashy exploitative thoroughly unpleasant experience,a trashy exploitative thoroughly unpleasant experience,1
despite an impressive roster of stars and direction from kathryn bigelow the weight of water is oppressively heavy,`martin lawrence live' is so self-pitying i almost expected there to be a collection taken for the comedian at the end of the show,0
i highly recommend irwin but not in the way this film showcases him,i highly recommend irwin but not in the way this film showcases him,1
even by dumb action-movie standards ballistic : ecks vs sever is a dumb action movie,it's a long way from orwell's dark intelligent warning cry [1984] to the empty stud knockabout of equilibrium and what once was conviction is now affectation,0
less funny than it should be and less funny than it thinks it is,less funny than it should be and less funny than it thinks it is,1
in this film we at least see a study in contrasts ; the wide range of one actor and the limited range of a comedian,in this film we at least see a study in contrasts ; the wide range of one actor and the limited range of a comedian,1
the whole thing succeeded only in making me groggy,a sub-formulaic slap in the face to seasonal cheer,0
although disney follows its standard formula in this animated adventure it feels more forced than usual,although disney follows its standard formula in this animated adventure it feels more forced than usual,1
outside of burger's desire to make some kind of film it's really unclear why this project was undertaken,outside of burger's desire to make some kind of film it's really unclear why this project was undertaken,1
forced familiar and thoroughly condescending,first good then bothersome excellent acting and direction,0
displays the potential for a better movie than what bailly manages to deliver,from beginning to end this overheated melodrama plays like a student film,0
the holes in this film remain agape -- holes punched through by an inconsistent meandering and sometimes dry plot,the holes in this film remain agape -- holes punched through by an inconsistent meandering and sometimes dry plot,1
for a film about explosions and death and spies " ballistic : ecks vs sever " seems as safe as a children's film well in some of those the mother deer even dies,too ordinary to restore [harmon] to prominence despite some creepy scenes that evoke childish night terrors and a praiseworthy attempt to generate suspense rather than gross out the audience,0
it delivers some chills and sustained unease but flounders in its quest for deeper meaning,were dylan thomas alive to witness first-time director ethan hawke's strained chelsea walls he might have been tempted to change his landmark poem to 'do not go gentle into that good theatre ',0
manages to be both repulsively sadistic and mundane,not completely loveable -- but what underdog movie since the bad news bears has been ? -- but certainly hard to hate,0
the kind of spectacularly misconceived enterprise that only a sophisticated cinephile could have perpetrated,the kind of spectacularly misconceived enterprise that only a sophisticated cinephile could have perpetrated,1
fessenden continues to do interesting work and it would be nice to see what he could make with a decent budget but the problem with wendigo for all its effective moments isn't really one of resources,an instantly forgettable snow-and-stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday-season product,0
a lot like the imaginary sport it projects onto the screen -- loud violent and mindless,a lot like the imaginary sport it projects onto the screen -- loud violent and mindless,1
it's mindless junk like this that makes you appreciate original romantic comedies like punch-drunk love,it's mindless junk like this that makes you appreciate original romantic comedies like punch-drunk love,1
fails to bring as much to the table,fails to bring as much to the table,1
a smug and convoluted action-comedy that doesn't allow an earnest moment to pass without reminding audiences that it's only a movie,the movie isn't painfully bad something to be 'fully experienced' ; it's just tediously bad something to be fully forgotten,0
a rote exercise in both animation and storytelling,a rote exercise in both animation and storytelling,1
a yawn-provoking little farm melodrama,a yawn-provoking little farm melodrama,1
this movie is about the worst thing chan has done in the united states,has not so much been written as assembled frankenstein-like out of other marginally better shoot-em-ups,0
a terrible adaptation of a play that only ever walked the delicate tightrope between farcical and loathsome in the wrong hands i e peploe's it's simply unbearable,a terrible adaptation of a play that only ever walked the delicate tightrope between farcical and loathsome in the wrong hands i e peploe's it's simply unbearable,1
overall it's a pretty mediocre family film,overall it's a pretty mediocre family film,1
i can easily imagine benigni's pinocchio becoming a christmas perennial coal isn't as easy to come by as it used to be and this would be a worthy substitute for naughty children's stockings,every joke is repeated at least four times every joke is repeated at least four times every joke is repeated at least--annoying isn't it ?,0
while van wilder may not be the worst national lampoon film it's far from being this generation's animal house,while van wilder may not be the worst national lampoon film it's far from being this generation's animal house,1
barely gets off the ground,content merely to lionize its title character and exploit his anger - all for easy sanctimony formulaic thrills and a ham-fisted sermon on the need for national health insurance,0
how much you are moved by the emotional tumult of [françois and michèle's] relationship depends a lot on how interesting and likable you find them,how much you are moved by the emotional tumult of [françois and michèle's] relationship depends a lot on how interesting and likable you find them,1
check your brain and your secret agent decoder ring at the door because you don't want to think too much about what's going on the movie does has some entertainment value - how much depends on how well you like chris rock,check your brain and your secret agent decoder ring at the door because you don't want to think too much about what's going on the movie does has some entertainment value - how much depends on how well you like chris rock,1
the film wasn't preachy but it was feminism by the book,the film wasn't preachy but it was feminism by the book,1
the adventure doesn't contain half the excitement of balto or quarter the fun of toy story 2,the adventure doesn't contain half the excitement of balto or quarter the fun of toy story 2,1
if the last man were the last movie left on earth there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows,if the last man were the last movie left on earth there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows,1
there's more repetition than creativity throughout the movie,there's more repetition than creativity throughout the movie,1
trite banal cliched mostly inoffensive,if only the story about a multi-million dollar con bothered to include the con,0
directors harry gantz and joe gantz have chosen a fascinating subject matter but the couples exposing themselves aren't all that interesting,this movie is about the worst thing chan has done in the united states,0
it's impossible to indulge the fanciful daydreams of janice beard ( eileen walsh ) when her real-life persona is so charmless and vacant,it's impossible to indulge the fanciful daydreams of janice beard ( eileen walsh ) when her real-life persona is so charmless and vacant,1
a lifetime movie about men,this remake of lina wertmuller's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since john and bo derek made the ridiculous bolero,0
too timid to bring a sense of closure to an ugly chapter of the twentieth century,too timid to bring a sense of closure to an ugly chapter of the twentieth century,1
frankly it's pretty stupid i had more fun with ben stiller's zoolander which i thought was rather clever but there's plenty to offend everyone,no doubt the star and everyone else involved had their hearts in the right place where their heads were is anyone's guess,0
a little weak -- and it isn't that funny,the first fatal attraction was vile enough do we really need the tiger beat version ?,0
this idea has lost its originality and neither star appears very excited at rehashing what was basically a one-joke picture,as plain and pedestrian as catsup--,0
an empty ugly exercise in druggy trance-noir and trumped-up street credibility,philip k dick must be turning in his grave along with my stomach,0
shocking only in that it reveals the filmmaker's bottomless pit of self-absorption,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line,0
don't let your festive spirit go this far,if you saw benigni's pinocchio at a public park you'd grab your kids and run and then probably call the police,0
an unclassifiably awful study in self- and audience-abuse,an unclassifiably awful study in self- and audience-abuse,1
a crude teen-oriented variation on a theme that the playwright craig lucas explored with infinitely more grace and eloquence in his prelude to a kiss,a crude teen-oriented variation on a theme that the playwright craig lucas explored with infinitely more grace and eloquence in his prelude to a kiss,1
the chocolate factory without charlie,it's a grab bag of genres that don't add up to a whole lot of sense,0
this is a movie that starts out like heathers then becomes bring it on then becomes unwatchable,a fairly by-the-books blend of action and romance with sprinklings of intentional and unintentional comedy,0
i didn't believe for a moment in these villains or their plot,i didn't believe for a moment in these villains or their plot,1
based on a david leavitt story the film shares that writer's usual blend of observant cleverness too-facile coincidence and slightly noxious preciousness,this isn't just the cliffsnotes version of nicholas nickleby it's the cliffsnotes with pages missing,0
for this sort of thing to work we need agile performers but the proficient dull sorvino has no light touch and rodan is out of his league,an artful yet depressing film that makes a melodramatic mountain out of the molehill of a missing bike,0
you'd be hard put to find a movie character more unattractive or odorous [than leon],you'd be hard put to find a movie character more unattractive or odorous [than leon],1
a selection of scenes in search of a movie,a selection of scenes in search of a movie,1
interesting and thoroughly unfaithful version of carmen,interesting and thoroughly unfaithful version of carmen,1
if ever a concept came handed down from the movie gods on a silver platter this is it if ever such a dependable concept was botched in execution this is it,if ever a concept came handed down from the movie gods on a silver platter this is it if ever such a dependable concept was botched in execution this is it,1
birot's directorial debut ( she co-wrote the script with christophe honoré ) isn't so much bad as it is bland,birot's directorial debut ( she co-wrote the script with christophe honoré ) isn't so much bad as it is bland,1
its inescapable absurdities are tantamount to insulting the intelligence of anyone who hasn't been living under a rock ( since sept 11 ),its inescapable absurdities are tantamount to insulting the intelligence of anyone who hasn't been living under a rock ( since sept 11 ),1
i can analyze this movie in three words : thumbs friggin' down,i can analyze this movie in three words : thumbs friggin' down,1
as immaculate as stuart little 2 is it could be a lot better if it were well more adventurous,the director seems to take an unseemly pleasure in [the characters'] misery and at the same time to congratulate himself for having the guts to confront it,0
built on the premise that middle-class arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids,yes one enjoys seeing joan grow from awkward young woman to strong determined monarch but her love for the philandering philip only diminishes her stature,0
minority report is exactly what the title indicates a report,it's as if a bored cage spent the duration of the film's shooting schedule waiting to scream : " got aids yet ? ",0
mr wollter and ms seldhal give strong and convincing performances but neither reaches into the deepest recesses of the character to unearth the quaking essence of passion grief and fear,less a study in madness or love than a study in schoolgirl obsession,0
a soulless jumble of ineptly assembled cliches and pabulum that plays like a 95-minute commercial for nba properties,the master of disaster - it's a piece of dreck disguised as comedy,0
one problem with the movie directed by joel schumacher is that it jams too many prefabricated story elements into the running time,watching trouble every day at least if you don't know what's coming is like biting into what looks like a juicy delicious plum on a hot summer day and coming away with your mouth full of rotten pulp and living worms,0
a processed comedy chop suey,a processed comedy chop suey,1
completely awful iranian drama as much fun as a grouchy ayatollah in a cold mosque,too loud too long and too frantic by half die another day suggests that the bond franchise has run into a creative wall that 007 cannot fly over tunnel under or barrel through,0
a film that will be best appreciated by those willing to endure its extremely languorous rhythms waiting for happiness is ultimately thoughtful without having much dramatic impact,a film that will be best appreciated by those willing to endure its extremely languorous rhythms waiting for happiness is ultimately thoughtful without having much dramatic impact,1
these characters become wearisome,these characters become wearisome,1
it leers offering next to little insight into its intriguing subject,it leers offering next to little insight into its intriguing subject,1
one can't shake the feeling that crossroads is nothing more than an hour-and-a-half-long commercial for britney's latest album,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make,0
outer-space buffs might love this film but others will find its pleasures intermittent,you might say tykwer has done all that heaven allows if you wanted to make as anti-kieslowski a pun as possible suffice to say its total promise is left slightly unfulfilled,0
like the chelsea's denizens burdette's collage-form scenario tends to over-romanticize the spiritual desolation of the struggling artiste,like the chelsea's denizens burdette's collage-form scenario tends to over-romanticize the spiritual desolation of the struggling artiste,1
a worthy idea but the uninspired scripts acting and direction never rise above the level of an after-school tv special,a well-made but emotionally scattered film whose hero gives his heart only to the dog,0
dignified ceo's meet at a rustic retreat and pee against a tree can you bear the laughter ?,watching queen of the damned is like reading a research paper with special effects tossed in,0
my response to the film is best described as lukewarm maybe i found the proceedings a little bit too conventional,my response to the film is best described as lukewarm maybe i found the proceedings a little bit too conventional,1
the whole talking-animal thing is grisly,it's a hellish numbing experience to watch and it doesn't offer any insights that haven't been thoroughly debated in the media already back in the dahmer heyday of the mid-'90s,0
this time mr burns is trying something in the martin scorsese street-realist mode but his self-regarding sentimentality trips him up again,the film starts promisingly but the ending is all too predictable and far too cliched to really work,0
this is a great subject for a movie but hollywood has squandered the opportunity using it as a prop for warmed-over melodrama and the kind of choreographed mayhem that director john woo has built his career on,this is a great subject for a movie but hollywood has squandered the opportunity using it as a prop for warmed-over melodrama and the kind of choreographed mayhem that director john woo has built his career on,1
murder and mayhem of this sort quickly becomes monotonous,at best cletis tout might inspire a trip to the video store -- in search of a better movie experience,0
k-19 may not hold a lot of water as a submarine epic but it holds even less when it turns into an elegiacally soggy saving private ryanovich,like a can of 2-day old coke you can taste it but there's no fizz,0
sadly though many of the actors throw off a spark or two when they first appear they can't generate enough heat in this cold vacuum of a comedy to start a reaction,sadly though many of the actors throw off a spark or two when they first appear they can't generate enough heat in this cold vacuum of a comedy to start a reaction,1
the film is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold,the film is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold,1
more a gunfest than a rock concert,more a gunfest than a rock concert,1
a dark-as-pitch comedy that frequently veers into corny sentimentality probably would not improve much after a therapeutic zap of shock treatment,the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not,0
the country bears wastes an exceptionally good idea but the movie that doesn't really deliver for country music fans or for family audiences,a low rate annie featuring some kid who can't act only echoes of jordan and weirdo actor crispin glover screwing things up old school,0
mckay deflates his piece of puffery with a sour cliche and heavy doses of mean-spiritedness,mckay deflates his piece of puffery with a sour cliche and heavy doses of mean-spiritedness,1
it's kind of sad that so many people put so much time and energy into this turkey,the movie doesn't think much of its characters its protagonist or of us,0
frankly it's pretty stupid i had more fun with ben stiller's zoolander which i thought was rather clever but there's plenty to offend everyone,frankly it's pretty stupid i had more fun with ben stiller's zoolander which i thought was rather clever but there's plenty to offend everyone,1
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes,the animation is competent and some of the gags are quite funny but jonah never shakes the oppressive morally superior good-for-you quality that almost automatically accompanies didactic entertainment,0
the movie is as padded as allen's jelly belly,if you adored the full monty so resoundingly that you're dying to see the same old thing in a tired old setting then this should keep you reasonably entertained,0
a movie that hovers somewhere between an acute character study and a trite power struggle,the last three narcissists left on earth compete for each others' affections,0
several of steven soderbergh's earlier films were hailed as the works of an artist sadly full frontal plays like the work of a dilettante,several of steven soderbergh's earlier films were hailed as the works of an artist sadly full frontal plays like the work of a dilettante,1
while super troopers is above academy standards its quintet of writers could still use some more schooling,while super troopers is above academy standards its quintet of writers could still use some more schooling,1
what madonna does here can't properly be called acting -- more accurately it's moving and it's talking and it's occasionally gesturing sometimes all at once,the writers director wally wolodarsky and all the actors should start their own coeducational fraternity : kappa rho alpha phi,0
a grim flat and boring werewolf movie that refuses to develop an energy level,a grim flat and boring werewolf movie that refuses to develop an energy level,1
so few movies explore religion that it's disappointing to see one reduce it to an idea that fits in a sampler,the original wasn't a good movie but this remake makes it look like a masterpiece,0
if this dud had been made in the '70s it would have been called the hills have antlers and played for about three weeks in drive-ins,a particularly joyless and exceedingly dull period coming-of-age tale,0
after the first 10 minutes which is worth seeing the movie sinks into an abyss of clichés depression and bad alternative music,after the first 10 minutes which is worth seeing the movie sinks into an abyss of clichés depression and bad alternative music,1
there's little to recommend snow dogs unless one considers cliched dialogue and perverse escapism a source of high hilarity,there's little to recommend snow dogs unless one considers cliched dialogue and perverse escapism a source of high hilarity,1
the movie straddles the fence between escapism and social commentary and on both sides it falls short,the movie straddles the fence between escapism and social commentary and on both sides it falls short,1
a movie just for friday fans critics be damned if you already like this sort of thing this is that sort of thing all over again,bears is bad not 'terrible filmmaking' bad but more like 'i once had a nightmare like this and it's now coming true' bad,0
there's something with potential here but the movie decides like lavinia to go the conservative route,the pairing does sound promising in theory but their lack of chemistry makes eddie murphy and robert deniro in showtime look like old familiar vaudeville partners,0
green ruins every single scene he's in and the film while it's not completely wreaked is seriously compromised by that,green ruins every single scene he's in and the film while it's not completely wreaked is seriously compromised by that,1
shadyac shoots his film like an m night shyamalan movie and he frequently maintains the same snail's pace ; he just forgot to add any genuine tension,everything about girls can't swim even its passages of sensitive observation feels secondhand familiar -- and not in a good way,0
although it starts off so bad that you feel like running out screaming it eventually works its way up to merely bad rather than painfully awful,although it starts off so bad that you feel like running out screaming it eventually works its way up to merely bad rather than painfully awful,1
its impressive images of crematorium chimney fires and stacks of dead bodies are undermined by the movie's presentation which is way too stagy,one of the most incoherent features in recent memory,0
cliches are as thick as the cigarette smoke,cliches are as thick as the cigarette smoke,1
the story has little wit and no surprises,the story has little wit and no surprises,1
offensive in the way it exploits the hot-button issue of domestic abuse for cheap thrills and disgusting in the manner it repeatedly puts a small child in jeopardy treating her as little more than a prop to be cruelly tormented,offensive in the way it exploits the hot-button issue of domestic abuse for cheap thrills and disgusting in the manner it repeatedly puts a small child in jeopardy treating her as little more than a prop to be cruelly tormented,1
lan yu is certainly a serviceable melodrama but it doesn't even try for the greatness that happy together shoots for ( and misses ),the entire point of a shaggy dog story of course is that it goes nowhere and this is classic nowheresville in every sense,0
obstacles are too easily overcome and there isn't much in the way of character development in the script,for a film about two mismatched buddies crystal and de niro share little screen time and even less chemistry,0
a film so tedious that it is impossible to care whether that boast is true or not,a film so tedious that it is impossible to care whether that boast is true or not,1
the movie is too amateurishly square to make the most of its own ironic implications,the movie is too amateurishly square to make the most of its own ironic implications,1
i'm not sure these words have ever been together in the same sentence : this erotic cannibal movie is boring,i'm not sure these words have ever been together in the same sentence : this erotic cannibal movie is boring,1
earnest but heavy-handed,two badly interlocked stories drowned by all too clever complexity,0
the only reason you should see this movie is if you have a case of masochism and an hour and a half to blow,the only reason you should see this movie is if you have a case of masochism and an hour and a half to blow,1
'butterfingered' is the word for the big-fisted direction of jez butterworth who manages to blast even the smallest sensitivities from the romance with his clamorous approach,'butterfingered' is the word for the big-fisted direction of jez butterworth who manages to blast even the smallest sensitivities from the romance with his clamorous approach,1
the sequel has turned completely and irrevocably bizarre to the point of utter nonsense,animated drivel meant to enhance the self-image of drooling idiots,0
you would be better off investing in the worthy emi recording that serves as the soundtrack or the home video of the 1992 malfitano-domingo production,you would be better off investing in the worthy emi recording that serves as the soundtrack or the home video of the 1992 malfitano-domingo production,1
this kind of dark comedy requires a delicate surgical touch but director danny devito and screenwriter adam resnick ( remember cabin boy ? ) just pound away,this kind of dark comedy requires a delicate surgical touch but director danny devito and screenwriter adam resnick ( remember cabin boy ? ) just pound away,1
complex sinuously plotted and somehow off-puttingly cold,complex sinuously plotted and somehow off-puttingly cold,1
even fans of ismail merchant's work i suspect would have a hard time sitting through this one,even fans of ismail merchant's work i suspect would have a hard time sitting through this one,1
a humorless journey into a philosophical void,it recycles every cliché about gays in what is essentially an extended soap opera,0
it's so devoid of joy and energy it makes even jason x look positively shakesperean by comparison,it's so devoid of joy and energy it makes even jason x look positively shakesperean by comparison,1
by the end of it all i sort of loved the people onscreen even though i could not stand them perhaps the film should be seen as a conversation starter it's not an easy one to review,by the end of it all i sort of loved the people onscreen even though i could not stand them perhaps the film should be seen as a conversation starter it's not an easy one to review,1
ultimately in the history of the academy people may be wondering what all that jazz was about " chicago " in 2002 zellweger's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an a,a frankenstein mishmash that careens from dark satire to cartoonish slapstick bartleby performs neither one very well,0
even if britney spears is really cute her movie is really bad,even if britney spears is really cute her movie is really bad,1
the sum of the parts equals largely a confused mediocrity,in between the icy stunts the actors spout hilarious dialogue about following your dream and 'just letting the mountain tell you what to do ',0
more likely to have you scratching your head than hiding under your seat,propelled not by characters but by caricatures,0
there's nothing interesting in unfaithful whatsoever,there's nothing interesting in unfaithful whatsoever,1
when the film ended i felt tired and drained and wanted to lie on my own deathbed for a while,barry sonnenfeld owes frank the pug big time,0
feel bad for king who's honestly trying and schwartzman who's shot himself in the foot,dreary highly annoying 'some body' will appeal to no one,0
too silly to be frightening too stolid to be funny it projects the same lazy affability as its nominal star david arquette,too silly to be frightening too stolid to be funny it projects the same lazy affability as its nominal star david arquette,1
it's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script unimpressive acting and indifferent direction,it's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script unimpressive acting and indifferent direction,1
if this is satire it's the smug and self-congratulatory kind that lets the audience completely off the hook,if this is satire it's the smug and self-congratulatory kind that lets the audience completely off the hook,1
although barbershop boasts some of today's hottest and hippest acts from the world of television music and stand-up comedy this movie strangely enough has the outdated swagger of a shameless ‘70s blaxploitation shuck-and-jive sitcom,although barbershop boasts some of today's hottest and hippest acts from the world of television music and stand-up comedy this movie strangely enough has the outdated swagger of a shameless ‘70s blaxploitation shuck-and-jive sitcom,1
rollerball is as bad as you think and worse than you can imagine,rollerball is as bad as you think and worse than you can imagine,1
john mctiernan's botched remake may be subtler than norman jewison's 1975 ultraviolent futuristic corporate-sports saga it's also stupider,this is not one of the movies you'd want to watch if you only had a week to live,0
gangs of new york is an unapologetic mess whose only saving grace is that it ends by blowing just about everything up,gangs of new york is an unapologetic mess whose only saving grace is that it ends by blowing just about everything up,1
" the kid stays in the picture " is a great story terrifically told by the man who wrote it but this cliff notes edition is a cheat," the kid stays in the picture " is a great story terrifically told by the man who wrote it but this cliff notes edition is a cheat,1
it will come as no surprise that the movie isn't scary but here's the real damn : it isn't funny either," the road paved with good intentions leads to the video store ",0
even by dumb action-movie standards ballistic : ecks vs sever is a dumb action movie,even by dumb action-movie standards ballistic : ecks vs sever is a dumb action movie,1
a beautifully made piece of unwatchable drivel,this tale has been told and retold ; the races and rackets change but the song remains the same,0
a better title for all concerned might be swept under the rug,hollywood ending just isn't very funny,0
a fairly by-the-books blend of action and romance with sprinklings of intentional and unintentional comedy,director tom dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon but showtime's uninspired send-up of tv cop show cliches mostly leaves him shooting blanks,0
it's the type of stunt the academy loves : a powerful political message stuffed into an otherwise mediocre film,it's the type of stunt the academy loves : a powerful political message stuffed into an otherwise mediocre film,1
like being trapped inside a huge video game where exciting inane images keep popping past your head and the same illogical things keep happening over and over again,decent but dull,0
to the vast majority of more casual filmgoers it will probably be a talky bore,to the vast majority of more casual filmgoers it will probably be a talky bore,1
despite some charm and heart this quirky soccer import is forgettable,a series of immaculately composed shots of patch adams quietly freaking out does not make for much of a movie,0
simply a re-hash of the other seven films,simply a re-hash of the other seven films,1
faultlessly professional but finally slight,shadyac shoots his film like an m night shyamalan movie and he frequently maintains the same snail's pace ; he just forgot to add any genuine tension,0
though it pretends to expose the life of male hustlers it's exploitive without being insightful,with more character development this might have been an eerie thriller ; with better payoffs it could have been a thinking man's monster movie,0
